requirement_id;canonical_fields;question_id;question_type;question_label;options;effects;clause_group_id;controls;evidence_types;output_section_id;review_roles;status
CIRC005_1_10_FCP_PARTS_CHARACTERISTICS;share_classes;Q_SHARE_CLASSES_COUNT;SINGLE_CHOICE;Le fonds comporte-t-il plusieurs classes de parts ?;false::Une seule classe|true::Plusieurs classes;CREATE_SHARE_CLASS_RECORDS|IF_MULTIPLE_REPEAT_CLASS_QUESTIONS;CG_PARTS_OVERVIEW;RULE_AT_LEAST_ONE_SHARE_CLASS;FUND_REGULATION;SEC_1_10_PARTS_CHARACTERISTICS;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_10_A_FCP_RIGHT_NATURE;parts.legal_right_type|parts.legal_right_description;Q_PART_LEGAL_RIGHT_TYPE;SINGLE_CHOICE;Quelle est la nature juridique du droit représenté par une part ?;CO_OWNERSHIP_RIGHT::Droit de copropriété|REAL_RIGHT::Droit réel|CLAIM_RIGHT::Droit de créance|OTHER::Autre;IF_OTHER_REQUIRE_LEGAL_REVIEW;CG_PART_LEGAL_RIGHT;RULE_PART_RIGHT_DESCRIPTION_REQUIRED;FUND_REGULATION;SEC_1_10_PARTS_CHARACTERISTICS;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_10_B_FCP_TITLES_CERTIFICATES;parts.dematerialized|parts.original_titles_exist|parts.certificates_exist|parts.registration_method|parts.register_keeper;Q_PARTS_DEMATERIALIZED;SINGLE_CHOICE;Comment les parts sont-elles représentées et enregistrées ?;DEMATERIALIZED_ACCOUNT::Dématérialisées en compte|DEMATERIALIZED_REGISTER::Dématérialisées sur registre|CERTIFICATED::Titres ou certificats|OTHER::Autre;REQUIRE_REGISTER_KEEPER_IF_REGISTERED|IF_OTHER_REQUIRE_LEGAL_REVIEW;CG_PART_REPRESENTATION;RULE_PART_REPRESENTATION_COMPLETE;FUND_REGULATION|REGISTER_KEEPING_AGREEMENT;SEC_1_10_PARTS_CHARACTERISTICS;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_10_C_FCP_FORM_COUPONS;parts.form|parts.coupons_exist|parts.coupon_description;Q_PART_FORM;SINGLE_CHOICE;Les parts sont-elles nominatives ou au porteur ?;REGISTERED::Nominatives|BEARER::Au porteur|OTHER::Autre;ASK_COUPONS_EXIST|IF_COUPONS_REQUIRE_DESCRIPTION;CG_PART_FORM_COUPONS;RULE_COUPON_DESCRIPTION_IF_EXISTS;FUND_REGULATION;SEC_1_10_PARTS_CHARACTERISTICS;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_10_D_FCP_VOTING_RIGHTS;parts.voting_rights_exist|parts.voting_rights_description;Q_PART_VOTING_RIGHTS;SINGLE_CHOICE;Un droit de vote est-il attaché aux parts ?;false::Non|true::Oui;IF_TRUE_REQUIRE_VOTING_DESCRIPTION|SELECT_VOTING_CLAUSE_VARIANT;CG_PART_VOTING_RIGHTS;RULE_VOTING_DESCRIPTION_IF_EXISTS;FUND_REGULATION;SEC_1_10_PARTS_CHARACTERISTICS;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_10_E_FCP_LIQUIDATION_CIRCUMSTANCES;liquidation.circumstances|liquidation.decision_authority|liquidation.process;Q_LIQUIDATION_CIRCUMSTANCES;MULTI_CHOICE_WITH_DETAILS;Dans quelles circonstances le fonds peut-il être liquidé ?;;SELECT_LIQUIDATION_CLAUSES;CG_LIQUIDATION;RULE_LIQUIDATION_CIRCUMSTANCES_REQUIRED;FUND_REGULATION;SEC_1_10_PARTS_CHARACTERISTICS;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_10_F_FCP_LIQUIDATION_HOLDER_RIGHTS;parts.liquidation_rights|liquidation.distribution_priority|liquidation.information_method;Q_LIQUIDATION_HOLDER_RIGHTS;STRUCTURED_TEXT;Quels sont les droits des porteurs pendant la liquidation ?;;BUILD_LIQUIDATION_RIGHTS_WORDING;CG_LIQUIDATION;RULE_LIQUIDATION_HOLDER_RIGHTS_REQUIRED;FUND_REGULATION;SEC_1_10_PARTS_CHARACTERISTICS;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_11_FCP_LISTING_TRADING;parts.listed|parts.traded|parts.market_name|parts.ticker|parts.isin|parts.admission_date;Q_PARTS_LISTED_TRADED;SINGLE_CHOICE;Les parts seront-elles cotées ou négociées sur un marché ?;false::Non|true::Oui;IF_TRUE_REQUIRE_MARKET_DETAILS|SELECT_LISTING_CLAUSE_VARIANT;CG_PART_LISTING;RULE_MARKET_DETAILS_IF_LISTED;MARKET_ADMISSION_DECISION;SEC_1_11_LISTING;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_12_FCP_ISSUE_SALE;parts.issue.initial_subscription_period|parts.issue.issue_price|subscriptions.sales_channels|subscriptions.authorized_distributors|subscriptions.payment_methods;Q_INITIAL_SUBSCRIPTION_PERIOD;SINGLE_CHOICE;Existe-t-il une période initiale de souscription ?;false::Non|true::Oui;IF_TRUE_REQUIRE_INITIAL_PERIOD_AND_PRICE|ASK_SALES_CHANNELS;CG_ISSUE_SALE;RULE_ISSUE_SALE_PROCESS_COMPLETE;FUND_REGULATION|DISTRIBUTION_AGREEMENTS;SEC_1_12_ISSUE_SALE;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_13_FCP_REDEMPTION_REIMBURSEMENT;redemption.request_channels|redemption.cutoff|redemption.execution_nav|redemption.settlement_days|redemption.minimum_amount|redemption.notice_period;Q_REDEMPTION_ALLOWED;SINGLE_CHOICE;Les porteurs peuvent-ils demander le rachat de leurs parts ?;true::Oui|false::Non — cas particulier;IF_TRUE_REQUIRE_REDEMPTION_PROCESS|IF_FALSE_REQUIRE_LEGAL_REVIEW;CG_REDEMPTION;RULE_REDEMPTION_PROCESS_COMPLETE;FUND_REGULATION|OPERATING_PROCEDURE;SEC_1_13_REDEMPTION_SUSPENSION;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
