requirement_id;canonical_fields;question_id;question_type;question_label;options;effects;clause_group_id;controls;evidence_types;output_section_id;review_roles;status
CIRC005_1_1_SGO_IDENTITY;manager.organization_id|manager.legal_name|manager.legal_form|manager.rccm_number|manager.registered_office|manager.central_administration;Q_SELECT_MANAGEMENT_COMPANY;REFERENCE_SELECT;Sélectionnez la société de gestion.;;PREFILL_MANAGER_PROFILE|ASK_CONFIRM_MANAGER_DATA;CG_MANAGER_IDENTITY;RULE_MANAGER_REQUIRED|RULE_CENTRAL_ADMINISTRATION_IF_DIFFERENT;SGO_APPROVAL|RCCM|STATUTES;SEC_1_SGO_IDENTITY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_2_SGO_CONSTITUTION_DATE;manager.constitution_date;Q_CONFIRM_MANAGER_CONSTITUTION_DATE;DATE_CONFIRMATION;Confirmez la date de constitution de la société de gestion.;;PREFILL_MANAGER_CONSTITUTION_DATE;CG_MANAGER_IDENTITY;RULE_MANAGER_CONSTITUTION_DATE_VERIFIED;RCCM|STATUTES;SEC_1_SGO_IDENTITY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_3_SGO_OTHER_FUNDS;manager.managed_funds;Q_CONFIRM_OTHER_MANAGED_FUNDS;REFERENCE_MULTI_CONFIRM;Confirmez la liste des autres OPC gérés par la société.;;LOAD_MANAGED_FUNDS_FROM_REGULATOR_REFERENCE;CG_MANAGER_OTHER_FUNDS;RULE_OTHER_FUNDS_IF_MANAGER_HAS_OTHER_FUNDS;REGULATOR_REGISTER;SEC_1_SGO_OTHER_FUNDS;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_8_A_SGO_GOVERNANCE_MEMBERS;manager.governance_members;Q_CONFIRM_GOVERNANCE_MEMBERS;REFERENCE_MULTI_CONFIRM;Confirmez les membres des organes d'administration, de direction et de surveillance.;;LOAD_GOVERNANCE_REFERENCE;CG_MANAGER_GOVERNANCE;RULE_GOVERNANCE_MEMBERS_REQUIRED;APPOINTMENT_DECISIONS|RCCM|STATUTES;SEC_1_SGO_GOVERNANCE;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_8_B_SGO_EXTERNAL_ACTIVITIES;manager.governance_members[].significant_external_activities|manager.governance_members[].conflicts;Q_GOVERNANCE_EXTERNAL_ACTIVITIES;REPEATING_BOOLEAN_DETAILS;Un membre exerce-t-il une activité externe significative ?;false::Non|true::Oui;IF_TRUE_REQUIRE_ACTIVITY_AND_CONFLICT_DETAILS;CG_MANAGER_EXTERNAL_ACTIVITIES;RULE_EXTERNAL_ACTIVITY_DETAILS_IF_SIGNIFICANT;DECLARATION_OF_INTERESTS;SEC_1_SGO_GOVERNANCE;COMPLIANCE|LEGAL;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_9_A_SGO_SUBSCRIBED_CAPITAL;manager.capital.subscribed_amount|manager.capital.currency|manager.capital.reference_date;Q_CONFIRM_SUBSCRIBED_CAPITAL;MONEY_CONFIRMATION;Confirmez le montant du capital souscrit.;;PREFILL_CAPITAL_REFERENCE;CG_MANAGER_CAPITAL;RULE_SUBSCRIBED_CAPITAL_POSITIVE;STATUTES|RCCM|FINANCIAL_STATEMENTS;SEC_1_SGO_CAPITAL;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_9_B_SGO_PAID_UP_CAPITAL;manager.capital.paid_up_amount|manager.capital.paid_up_percentage;Q_CONFIRM_PAID_UP_CAPITAL;MONEY_CONFIRMATION;Confirmez le montant du capital libéré.;;CALCULATE_PAID_UP_PERCENTAGE;CG_MANAGER_CAPITAL;RULE_PAID_UP_NOT_GREATER_THAN_SUBSCRIBED;BANK_CERTIFICATE|FINANCIAL_STATEMENTS;SEC_1_SGO_CAPITAL;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_2_1_DEPOSITARY_IDENTITY;depositary.organization_id|depositary.legal_name|depositary.legal_form|depositary.registered_office|depositary.central_administration;Q_SELECT_DEPOSITARY;REFERENCE_SELECT;Sélectionnez le dépositaire.;;PREFILL_DEPOSITARY_PROFILE|ASK_CONFIRM_DEPOSITARY_DATA;CG_DEPOSITARY_IDENTITY;RULE_DEPOSITARY_REQUIRED|RULE_DEPOSITARY_CENTRAL_ADMINISTRATION_IF_DIFFERENT;DEPOSITARY_APPROVAL|RCCM|DEPOSITARY_AGREEMENT;SEC_2_DEPOSITARY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_2_2_DEPOSITARY_MAIN_ACTIVITY;depositary.main_activity;Q_CONFIRM_DEPOSITARY_MAIN_ACTIVITY;REFERENCE_CONFIRM;Confirmez l'activité principale du dépositaire.;;PREFILL_DEPOSITARY_MAIN_ACTIVITY;CG_DEPOSITARY_MAIN_ACTIVITY;RULE_DEPOSITARY_MAIN_ACTIVITY_REQUIRED;REGULATOR_REGISTER|RCCM;SEC_2_DEPOSITARY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_3_1_EXTERNAL_ADVISER_IDENTITY;external_adviser.enabled|external_adviser.organization_id|external_adviser.person_name;Q_EXTERNAL_ADVISER_PAID_BY_FUND;SINGLE_CHOICE;Le fonds paie-t-il sur ses actifs un conseiller externe prévu par contrat ?;false::Non|true::Oui;IF_TRUE_REQUIRE_ADVISER_IDENTITY_AND_CONTRACT|IF_FALSE_SET_SECTION_NOT_APPLICABLE;CG_EXTERNAL_ADVISER_IDENTITY;RULE_EXTERNAL_ADVISER_IDENTITY_IF_APPLICABLE;ADVISORY_AGREEMENT;SEC_3_EXTERNAL_ADVISERS;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
