inst058_requirement_id;article_number;circ005_requirement_id;inst066_requirement_id;relationship;canonical_fields;controls;review_status;activation
INST058_ART001_REQ001;1;CIRC005_GENERAL_SCOPE;INST066_ART001_REQ001;SUPPLEMENTS_OR_CONSTRAINS;fund.regulatory_product_type|fund.legal_form|manager.regulatory_status;RULE_INST058_SCOPE_CLASSIFICATION_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART003_REQ001;3;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;INST066_ART037_REQ003;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons|service_providers[]|regulatory_coverage.requirements;RULE_INST058_APPLICABILITY_ASSESSED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART004_REQ001;4;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].professional_order|accounting_control.responsible_persons[].registration_status;RULE_AUDITOR_PROFESSIONAL_ORDER_EVIDENCE_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART005_REQ001;5;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons|accounting_control.appointment_body|accounting_control.appointment_date|manager.governance_minutes[];RULE_FCP_AUDITOR_APPOINTED_BY_MANAGER_BOARD;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART006_REQ001;6;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].mandate_acceptance|evidence[];RULE_AUDITOR_ACCEPTANCE_LETTER_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART007_REQ001;7;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].regulatory_approval|accounting_control.responsible_persons[].approval_status;RULE_AUDITOR_REGULATORY_APPROVAL_EVIDENCE_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART007_REQ002;7;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[]|accounting_control.independence_assessment|conflicts.audit_firms[];RULE_AUDITOR_FIRM_AND_INTEREST_INDEPENDENCE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART011_REQ001;11;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.appointment_evidence|accounting_control.mandate_duration|manager.governance_minutes[];RULE_FCP_AUDITOR_BOARD_MINUTES_REQUIRED|RULE_FCP_AUDITOR_AGM_MINUTES_NOT_REQUIRED_WHEN_BOARD_MINUTES_APPLY;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART012_REQ001;12;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].approval_changes[]|regulatory_events[];RULE_AUDITOR_APPROVAL_CHANGE_RECORDED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART013_REQ001;13;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;INST066_ART037_REQ003;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.applicable_standards[]|accounting_control.responsible_persons;RULE_AUDIT_APPLICABLE_STANDARDS_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART014_REQ001;14;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.mandate_scope|accounting_control.specific_diligences[];RULE_AUDITOR_MANDATE_SCOPE_COMPLETE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART015_REQ001;15;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].mandates[]|accounting_control.rotation_history;RULE_ART015_ROTATION_THRESHOLDS_PENDING_DUAL_REVIEW;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART016_REQ001;16;;INST066_ART037_REQ003;SUPPLEMENTS_OR_CONSTRAINS;periodic_reporting.annual.audit_report|periodic_reporting.annual.audit_report_deadline|accounting_control.responsible_persons[].approval_status;RULE_ART016_REPORT_SIGNATURE_AND_APPROVAL_REQUIRED|RULE_ART016_DEADLINE_PENDING_DUAL_REVIEW;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART017_REQ001;17;CIRC005_1_4_FCP_PERIODIC_REPORTS_AVAILABILITY;INST066_ART037_REQ004;SUPPLEMENTS_OR_CONSTRAINS;regulatory_coverage.requirements|periodic_reporting.semiannual.audit_review_applicability;RULE_INST058_ART017_NOT_APPLICABLE_TO_FCP_FCTC_WITH_SOURCE_JUSTIFICATION;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART018_REQ001;18;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;INST066_ART037_REQ003;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.audit_opinion|accounting_control.audit_opinion_qualifications[]|regulatory_events[];RULE_AUDIT_OPINION_RECORDED|RULE_QUALIFIED_OPINION_REQUIRES_APPLICABILITY_REVIEW;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART019_REQ001;19;;;SUPPLEMENTS_OR_CONSTRAINS;regulatory_events[]|accounting_control.notifications[]|continuity.events[];RULE_AUDITOR_SERIOUS_EVENT_NOTIFICATION_EVIDENCE_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART020_REQ001;20;;INST066_ART037_REQ005;SUPPLEMENTS_OR_CONSTRAINS;periodic_reporting.quarterly.certified_assets|periodic_reporting.quarterly.asset_attestation_deadline|portfolio.snapshot_date;RULE_QUARTERLY_ASSET_COMPOSITION_CERTIFIED|RULE_INST058_ART020_DEADLINE_PENDING_DUAL_REVIEW;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART020_REQ002;20;;INST066_ART037_REQ005;SUPPLEMENTS_OR_CONSTRAINS;periodic_reporting.quarterly.attestation_exception|regulatory_events[];RULE_ASSET_ATTESTATION_FAILURE_NOTICE_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART022_REQ001;22;;INST066_ART037_REQ003;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.applicable_standards[]|accounting_control.sector_specific_reviews[];RULE_FINANCIAL_STATEMENTS_MATCH_APPLICABLE_ACCOUNTING_FRAMEWORK;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART023_REQ001;23;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.regulatory_acknowledgements[]|evidence[];RULE_AUDITOR_REGULATORY_ACKNOWLEDGEMENT_EVIDENCED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART024_REQ001;24;;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.regulator_contacts[]|regulatory_communications[];RULE_REGULATOR_AUDITOR_COMMUNICATION_AUTHORIZED_AND_TRACEABLE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART025_REQ001;25;;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.notifications[]|regulatory_events[]|regulatory_events[].deadline;RULE_ART025_NOTICE_EVIDENCE_REQUIRED|RULE_ART025_72H_DEADLINE_PENDING_DUAL_REVIEW;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART026_REQ001;26;;;SUPPLEMENTS_OR_CONSTRAINS;regulatory_inspections[]|accounting_control.regulator_meetings[];RULE_AUDITOR_INSPECTION_COOPERATION_EVIDENCED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART027_REQ001;27;;;SUPPLEMENTS_OR_CONSTRAINS;regulatory_communications[]|accounting_control.information_requests[];RULE_REGULATOR_INFORMATION_REQUEST_TRACKED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART028_REQ001;28;;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.regulatory_clarifications[]|regulatory_communications[];RULE_AUDITOR_REGULATORY_CLARIFICATION_TRACEABLE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART029_REQ001;29;;;SUPPLEMENTS_OR_CONSTRAINS;regulatory_communications[].confidentiality|accounting_control.confidential_information[];RULE_REGULATOR_AUDITOR_INFORMATION_CONFIDENTIAL;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART030_REQ001;30;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].approval_status|accounting_control.responsible_persons[].approval_events[]|regulatory_events[];RULE_WITHDRAWN_AUDITOR_NOT_PRESENTED_AS_APPROVED|RULE_AUDITOR_REPLACEMENT_REVIEW_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART031_REQ001;31;CIRC005_1_7_FCP_ACCOUNTING_CONTROL_PERSONS;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].approval_status|regulatory_sources.dependencies[]|compliance.breaches[];RULE_UNAPPROVED_AUDITOR_IS_BLOCKER|RULE_SANCTION_DETAILS_REQUIRE_CM_SJ_001_03_2016_SOURCE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART032_REQ001;32;;;SUPPLEMENTS_OR_CONSTRAINS;compliance.breaches[]|accounting_control.breaches[]|regulatory_sources.dependencies[];RULE_AUDITOR_BREACH_RECORDED|RULE_SANCTION_DETAILS_REQUIRE_CM_SJ_001_03_2016_SOURCE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART033_REQ001;33;;;SUPPLEMENTS_OR_CONSTRAINS;accounting_control.responsible_persons[].transitional_approval|regulatory_coverage.temporal_applicability;RULE_TRANSITIONAL_AUDITOR_APPROVAL_REQUIRES_TERM_AND_UNDERTAKING;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART034_REQ001;34;;;SUPPLEMENTS_OR_CONSTRAINS;regulatory_sources.abrogated_texts[]|regulatory_sources.predecessor;RULE_INST058_PREDECESSOR_REQUIRES_LEGAL_REVIEW;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST058_ART035_REQ001;35;CIRC005_GENERAL_EFFECTIVE_DATE;;SUPPLEMENTS_OR_CONSTRAINS;regulatory_sources.effective_from|regulatory_sources.signed_on;RULE_INST058_EFFECTIVE_DATE_REQUIRES_VISUAL_SOURCE_REVIEW;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
