inst066_atom_id;article_number;circ005_requirement_id;relationship;review_status;activation
INST066_ART001_ATOM001;1;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART002_ATOM001;2;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART003_ATOM001;3;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART004_ATOM001;4;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART005_ATOM001;5;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART006_ATOM001;6;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART007_ATOM001;7;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART008_ATOM001;8;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART009_ATOM001;9;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART010_ATOM001;10;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART011_ATOM001;11;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART012_ATOM001;12;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART013_ATOM001;13;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART014_ATOM001;14;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART015_ATOM001;15;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART016_ATOM001;16;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART017_ATOM001;17;CIRC005_GENERAL_SCOPE;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART017_ATOM001;17;CIRC005_GENERAL_MINIMUM;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART017_ATOM001;17;CIRC005_2_1_DEPOSITARY_IDENTITY;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART018_ATOM001;18;CIRC005_1_15_FCP_INVESTMENT_OBJECTIVES_POLICY;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART018_ATOM001;18;CIRC005_1_15_D_FCP_POLICY_LIMITS;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART019_ATOM001;19;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_ATOM001;20;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART021_ATOM001;21;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART022_ATOM001;22;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART023_ATOM001;23;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART024_ATOM001;24;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART025_ATOM001;25;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART026_ATOM001;26;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART027_ATOM001;27;CIRC005_GENERAL_MINIMUM;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART027_ATOM001;27;CIRC005_1_4_FCP_REGULATION_AVAILABILITY;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART028_ATOM001;28;CIRC005_GENERAL_MINIMUM;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
