inst066_requirement_id;article_number;circ005_requirement_id;relationship;canonical_fields;controls;review_status;activation
INST066_ART001_REQ001;1;CIRC005_GENERAL_SCOPE;SUPPLEMENTS_OR_CONSTRAINS;fund.regulatory_product_type|fund.legal_form|fund.vehicle_family;RULE_REGULATORY_PRODUCT_TYPE_REQUIRED|RULE_LEGAL_FORM_COMPATIBLE_WITH_PRODUCT_TYPE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART001_REQ002;1;CIRC005_5_2_TARGET_INVESTOR;SUPPLEMENTS_OR_CONSTRAINS;target_investor.qualification|distribution.eligible_investor_categories[]|distribution.restrictions[];RULE_INVESTOR_QUALIFICATION_REQUIRED|RULE_MARKETING_SCOPE_MATCHES_INVESTOR_QUALIFICATION;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART001_REQ003;1;CIRC005_GENERAL_SCOPE;SUPPLEMENTS_OR_CONSTRAINS;documents.prospectus.status|documents.prospectus.available_from|distribution.marketing_start_date;RULE_PROSPECTUS_AVAILABLE_BEFORE_MARKETING|RULE_MARKETING_BLOCKED_WITHOUT_PROSPECTUS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART001_REQ003;1;CIRC005_GENERAL_MINIMUM;SUPPLEMENTS_OR_CONSTRAINS;documents.prospectus.status|documents.prospectus.available_from|distribution.marketing_start_date;RULE_PROSPECTUS_AVAILABLE_BEFORE_MARKETING|RULE_MARKETING_BLOCKED_WITHOUT_PROSPECTUS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART002_REQ001;2;CIRC005_GENERAL_SCOPE;SUPPLEMENTS_OR_CONSTRAINS;regulatory_context.jurisdiction|regulatory_context.pack_id|regulatory_approval.status;RULE_PACK_SCOPE_CONFIRMED|RULE_UMOA_APPROVAL_OR_REGISTRATION_EVIDENCED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART002_REQ002;2;CIRC005_GENERAL_SCOPE;SUPPLEMENTS_OR_CONSTRAINS;cross_border.home_country|cross_border.umoa_authorization|cross_border.cooperation_agreement|cross_border.fx_clearance;RULE_THIRD_COUNTRY_AUTHORIZATION_COMPLETE|RULE_COOPERATION_AGREEMENT_EVIDENCED|RULE_FX_CLEARANCE_IF_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART002_REQ002;2;CIRC005_4_OTHER_MARKETING_STATE_ARRANGEMENTS;SUPPLEMENTS_OR_CONSTRAINS;cross_border.home_country|cross_border.umoa_authorization|cross_border.cooperation_agreement|cross_border.fx_clearance;RULE_THIRD_COUNTRY_AUTHORIZATION_COMPLETE|RULE_COOPERATION_AGREEMENT_EVIDENCED|RULE_FX_CLEARANCE_IF_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART002_REQ003;2;;NO_EXACT_LINK_IDENTIFIED;fund.legal_form|regulatory_context.exclusion_reason;RULE_INSTRUCTION_66_SCOPE_EXCLUSION_BLOCK;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART003_REQ001;3;CIRC005_GENERAL_SCOPE;SUPPLEMENTS_OR_CONSTRAINS;fund.regulatory_product_type|fund.legal_form|fund.has_legal_personality;RULE_PRODUCT_TYPE_LEGAL_FORM_MATRIX|RULE_CONSTITUTIVE_DOCUMENT_TYPE_MATCHES_LEGAL_FORM;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART004_REQ001;4;CIRC005_1_3_SGO_OTHER_FUNDS;SUPPLEMENTS_OR_CONSTRAINS;manager.approval_reference|manager.approval_category|manager.approval_status;RULE_MANAGER_APPROVAL_EVIDENCE_REQUIRED|RULE_MANAGER_CATEGORY_RECORDED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART004_REQ002;4;CIRC005_1_3_SGO_OTHER_FUNDS;SUPPLEMENTS_OR_CONSTRAINS;manager.approval_category|manager.authorized_product_types[]|manager.managed_funds[];RULE_MANAGER_PRODUCT_SCOPE_CONSISTENCY;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART004_REQ003;4;CIRC005_1_8_A_SGO_GOVERNANCE_MEMBERS;SUPPLEMENTS_OR_CONSTRAINS;manager.functions[]|manager.governance_members[]|manager.risk_management_function;RULE_MANAGER_CORE_FUNCTIONS_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART004_REQ004;4;CIRC005_1_8_B_SGO_EXTERNAL_ACTIVITIES;SUPPLEMENTS_OR_CONSTRAINS;manager.external_activities[]|manager.complementary_activities[]|manager.activity_program_reference;RULE_MANAGER_ACTIVITIES_WITHIN_APPROVED_SCOPE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART005_REQ001;5;;NO_EXACT_LINK_IDENTIFIED;manager.legal_form|manager.share_capital|manager.additional_capital_requirements|manager.capital_currency;RULE_MANAGER_CAPITAL_SOURCE_REVIEW_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART005_REQ002;5;CIRC005_1_8_A_SGO_GOVERNANCE_MEMBERS;SUPPLEMENTS_OR_CONSTRAINS;manager.governance_members[]|manager.registered_office|manager.central_administration|manager.close_links[]|manager.organization_structure;RULE_MANAGER_GOVERNANCE_EVIDENCE_REQUIRED|RULE_MANAGER_OFFICE_AND_CENTRAL_ADMIN_RECORDED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART014_REQ001;14;;NO_EXACT_LINK_IDENTIFIED;manager.delegations[]|manager.delegations[].function|manager.delegations[].delegate;RULE_DELEGATED_FUNCTIONS_DISCLOSED|RULE_DELEGATE_IDENTITY_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART014_REQ002;14;;NO_EXACT_LINK_IDENTIFIED;manager.delegations[].function|manager.delegations[].prohibited;RULE_PROHIBITED_DELEGATION_FUNCTIONS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART017_REQ001;17;CIRC005_GENERAL_SCOPE;SUPPLEMENTS_OR_CONSTRAINS;regulatory_approval.application_documents[]|documents.prospectus.status;RULE_APPROVAL_DOSSIER_DOCUMENTS_COMPLETE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART017_REQ001;17;CIRC005_GENERAL_MINIMUM;SUPPLEMENTS_OR_CONSTRAINS;regulatory_approval.application_documents[]|documents.prospectus.status;RULE_APPROVAL_DOSSIER_DOCUMENTS_COMPLETE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART017_REQ002;17;CIRC005_2_1_DEPOSITARY_IDENTITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.organization_id|depositary.approval_reference|depositary.agreement_reference;RULE_DEPOSITARY_REQUIRED|RULE_DEPOSITARY_EVIDENCE_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART018_REQ001;18;CIRC005_1_15_FCP_INVESTMENT_OBJECTIVES_POLICY;SUPPLEMENTS_OR_CONSTRAINS;fund.category|investment_policy.asset_class_ranges[]|regulatory_classification;RULE_CLASSIFICATION_CONSISTENCY|RULE_ASSET_RANGE_VALIDITY;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART018_REQ001;18;CIRC005_1_15_D_FCP_POLICY_LIMITS;SUPPLEMENTS_OR_CONSTRAINS;fund.category|investment_policy.asset_class_ranges[]|regulatory_classification;RULE_CLASSIFICATION_CONSISTENCY|RULE_ASSET_RANGE_VALIDITY;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART018_REQ002;18;CIRC005_1_15_A_FCP_FINANCIAL_OBJECTIVES;SUPPLEMENTS_OR_CONSTRAINS;capital_protection.guaranteed|capital_protection.mechanism|capital_protection.guarantor;RULE_GUARANTEE_WORDING_CONSISTENCY|RULE_GUARANTOR_EVIDENCE_REQUIRED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_REQ001;20;CIRC005_2_1_DEPOSITARY_IDENTITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.organization_id|depositary.is_sole_depositary|depositary.appointment_date;RULE_DEPOSITARY_REQUIRED|RULE_SINGLE_DEPOSITARY_PER_FUND;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_REQ002;20;CIRC005_2_1_DEPOSITARY_IDENTITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.agreement_reference|depositary.agreement_date|depositary.information_flows[];RULE_DEPOSITARY_WRITTEN_AGREEMENT_REQUIRED|RULE_DEPOSITARY_INFORMATION_FLOWS_DOCUMENTED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_REQ003;20;CIRC005_2_1_DEPOSITARY_IDENTITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.entity_type|depositary.approval_reference|depositary.registered_office.country|depositary.prudential_status;RULE_DEPOSITARY_ELIGIBILITY|RULE_DEPOSITARY_ESTABLISHMENT_LOCATION;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_REQ003;20;CIRC005_2_2_DEPOSITARY_MAIN_ACTIVITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.entity_type|depositary.approval_reference|depositary.registered_office.country|depositary.prudential_status;RULE_DEPOSITARY_ELIGIBILITY|RULE_DEPOSITARY_ESTABLISHMENT_LOCATION;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_REQ004;20;CIRC005_2_1_DEPOSITARY_IDENTITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.conflicts[]|depositary.is_manager|depositary.is_prime_broker|depositary.functional_separation|depositary.conflict_disclosure;RULE_MANAGER_CANNOT_BE_DEPOSITARY|RULE_PRIME_BROKER_SEPARATION_AND_DISCLOSURE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_REQ005;20;CIRC005_2_1_DEPOSITARY_IDENTITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.third_country|depositary.cooperation_agreement|depositary.prudential_equivalence|depositary.fatf_status|depositary.tax_information_exchange|depositary.contractual_liability;RULE_THIRD_COUNTRY_DEPOSITARY_CONDITIONS_COMPLETE|RULE_NON_COOPERATIVE_JURISDICTION_BLOCK;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART020_REQ005;20;CIRC005_4_OTHER_MARKETING_STATE_ARRANGEMENTS;SUPPLEMENTS_OR_CONSTRAINS;depositary.third_country|depositary.cooperation_agreement|depositary.prudential_equivalence|depositary.fatf_status|depositary.tax_information_exchange|depositary.contractual_liability;RULE_THIRD_COUNTRY_DEPOSITARY_CONDITIONS_COMPLETE|RULE_NON_COOPERATIVE_JURISDICTION_BLOCK;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART021_REQ001;21;CIRC005_2_2_DEPOSITARY_MAIN_ACTIVITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.cash_monitoring|cash_accounts[]|subscriptions.cash_reconciliation;RULE_SUBSCRIPTION_CASH_RECEIPT_RECONCILED|RULE_FUND_CASH_ACCOUNTS_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART021_REQ002;21;CIRC005_2_2_DEPOSITARY_MAIN_ACTIVITY;SUPPLEMENTS_OR_CONSTRAINS;depositary.custody_accounts[]|depositary.asset_segregation|portfolio.custodiable_assets[];RULE_CUSTODY_ACCOUNT_SEGREGATION|RULE_CUSTODIABLE_ASSETS_IDENTIFIABLE;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
